,Genre,Detector,AUROC,Δ-Mean,FPR,FNR,Optimal Threshold,model
15,novel,roberta-base-detector,0.5248,-0.0164,0.433,0.475,0.9998,Claude Sonnet 4
18,restaurant review,pengram,0.9989,0.7044,0.01,0.01,0.0,Claude Sonnet 4
17,restaurant review,originality,0.9204,0.1765,0.2029,0.0482,0.0012,Claude Sonnet 4
16,restaurant review,gptzero,0.66,0.32,0.01,0.67,1.0,Claude Sonnet 4
19,restaurant review,roberta-base-detector,0.4756,0.012,0.71,0.25,0.9357,Claude Sonnet 4
22,resume,pengram,1.0,0.9943,0.0,0.0,0.0036,Claude Sonnet 4
21,resume,originality,0.9558,0.0589,0.0838,0.099,0.0009,Claude Sonnet 4
20,resume,gptzero,0.6536,0.3021,0.0,0.6927,0.375,Claude Sonnet 4
23,resume,roberta-base-detector,0.5513,0.002,0.5833,0.2552,0.9997,Claude Sonnet 4
2,amazon review,pengram,0.995,0.6988,0.01,0.05,0.0001,Gemini 2.0 Flash
1,amazon review,originality,0.8883,0.2319,0.2932,0.0625,0.0009,Gemini 2.0 Flash
0,amazon review,gptzero,0.6697,0.3283,0.02,0.64,0.2,Gemini 2.0 Flash
3,amazon review,roberta-base-detector,0.5973,0.0798,0.365,0.43,0.994,Gemini 2.0 Flash
6,blog,pengram,0.9988,0.8299,0.0,0.02,0.0001,Gemini 2.0 Flash
5,blog,originality,0.9934,0.2436,0.0493,0.0299,0.0007,Gemini 2.0 Flash
4,blog,gptzero,0.7349,0.4542,0.005,0.525,0.2941,Gemini 2.0 Flash
7,blog,roberta-base-detector,0.5547,0.051,0.075,0.81,0.9998,Gemini 2.0 Flash
10,news,pengram,0.9982,0.9767,0.0033,0.0133,0.1987,Gemini 2.0 Flash
9,news,originality,0.9539,0.2842,0.1781,0.0441,0.0012,Gemini 2.0 Flash
8,news,gptzero,0.8183,0.6346,0.01,0.3533,0.6857,Gemini 2.0 Flash
11,news,roberta-base-detector,0.4896,-0.0106,0.23,0.71,0.9998,Gemini 2.0 Flash
14,novel,pengram,1.0,0.9999,0.0,0.0,0.9878,Gemini 2.0 Flash
13,novel,originality,0.9961,0.1203,0.004,0.0366,0.001,Gemini 2.0 Flash
12,novel,gptzero,0.7816,0.5253,0.0,0.4369,0.1176,Gemini 2.0 Flash
15,novel,roberta-base-detector,0.5265,-0.0112,0.462,0.441,0.9997,Gemini 2.0 Flash
18,restaurant review,pengram,0.998,0.6748,0.01,0.01,0.0,Gemini 2.0 Flash
17,restaurant review,originality,0.916,0.2419,0.087,0.2073,0.0025,Gemini 2.0 Flash
16,restaurant review,gptzero,0.7149,0.4246,0.01,0.56,0.5294,Gemini 2.0 Flash
19,restaurant review,roberta-base-detector,0.4988,0.0208,0.47,0.48,0.9981,Gemini 2.0 Flash
22,resume,pengram,1.0,0.9997,0.0,0.0,0.9512,Gemini 2.0 Flash
21,resume,originality,0.9741,0.091,0.0677,0.0573,0.001,Gemini 2.0 Flash
20,resume,gptzero,0.8724,0.7311,0.0,0.2552,0.375,Gemini 2.0 Flash
23,resume,roberta-base-detector,0.5677,0.0051,0.5573,0.2448,0.9997,Gemini 2.0 Flash
